DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL,Indicator_0,Indicator_1,Indicator_2,Indicator_3,Signal,Remark,Stop Loss,Target,Entry_Price,Exit_Price,PNL,PNL%,Total PNL
2022-10-27,EQ,1464.5,1467.35,1451.25,1450.9,1456.0,1454.4,1457.9,1722.1,1271.6,7968638,11617489645.45,167453,HDFCBANK,1467.35,1498.384999999999,1467.35,1498.384999999999,Hold,,,,,,,,
2022-10-28,EQ,1450.0,1467.0,1447.4,1454.4,1459.95,1458.7,1459.47,1722.1,1271.6,5237139,7643452528.1,142985,HDFCBANK,1467.0,1514.059999999999,1467.0,1514.059999999999,Hold,,,,,,,,
2022-10-31,EQ,1472.0,1498.0,1467.25,1458.7,1495.9,1496.7,1487.44,1722.1,1271.6,6415264,9542306136.5,197801,HDFCBANK,1498.0,1529.694999999999,1498.0,1529.694999999999,Hold,,,,,,,,
2022-11-01,EQ,1503.5,1529.0,1498.9,1496.7,1513.5,1513.25,1519.63,1722.1,1271.6,9536878,14492530604.2,209190,HDFCBANK,1529.0,1541.9249999999988,1529.0,1541.9249999999988,Hold,,,,,,,,
2022-11-02,EQ,1517.0,1528.25,1511.6,1513.25,1514.95,1514.2,1520.14,1722.1,1271.6,6360203,9668407272.05,134056,HDFCBANK,1528.25,1553.889999999999,1528.25,1553.889999999999,Hold,,,,,,,,
2022-11-03,EQ,1497.7,1520.25,1497.0,1514.2,1507.45,1507.55,1511.46,1722.1,1271.6,5166176,7808453715.85,158632,HDFCBANK,1520.25,1564.2849999999987,1520.25,1564.2849999999987,Hold,,,,,,,,
2022-11-04,EQ,1503.2,1516.1,1489.6,1507.55,1497.1,1497.15,1497.96,1722.1,1271.6,5409030,8102528471.55,150429,HDFCBANK,1516.1,1574.9199999999987,1516.1,1574.9199999999987,Hold,,,,,,,,
2022-11-07,EQ,1510.0,1512.0,1492.1,1497.15,1510.25,1508.8,1501.97,1722.1,1271.6,4917917,7386587082.6,123611,HDFCBANK,1512.0,1584.939999999999,1512.0,1584.939999999999,Hold,,,,,,,,
2022-11-09,EQ,1515.05,1517.95,1504.0,1508.8,1508.0,1508.35,1511.66,1722.1,1271.6,4634895,7006381268.25,99843,HDFCBANK,1517.95,1593.559999999999,1517.95,1593.559999999999,Hold,,,,,,,,
2022-11-10,EQ,1497.1,1527.0,1495.05,1508.35,1527.0,1524.75,1511.37,1722.1,1271.6,6387091,9653235507.4,139631,HDFCBANK,1527.0,1602.639999999999,1527.0,1602.639999999999,Hold,,,,,,,,
2022-11-11,EQ,1545.0,1637.0,1538.0,1524.75,1611.9,1611.15,1599.68,1722.1,1271.6,28361169,45368789544.6,611619,HDFCBANK,1637.0,1612.679999999999,1637.0,1612.679999999999,Hold,,,,,,,,
2022-11-14,EQ,1612.0,1628.0,1598.0,1611.15,1615.0,1615.05,1613.89,1722.1,1271.6,9597695,15489657292.1,254705,HDFCBANK,1628.0,1613.3299999999988,1628.0,1613.3299999999988,Hold,,,,,,,,
2022-11-15,EQ,1623.15,1623.15,1605.25,1615.05,1622.0,1619.0,1614.94,1722.1,1271.6,5515101,8906572969.0,158707,HDFCBANK,1623.15,1611.849999999999,1623.15,1611.849999999999,Hold,,,,,,,,
2022-11-16,EQ,1618.65,1642.0,1612.0,1619.0,1630.0,1632.9,1630.44,1722.1,1271.6,6789075,11069179609.25,208132,HDFCBANK,1642.0,1609.734999999999,1642.0,1609.734999999999,Hold,,,,,,,,
2022-11-17,EQ,1618.1,1631.55,1613.9,1632.9,1617.0,1618.15,1623.76,1722.1,1271.6,6050465,9824511118.7,133033,HDFCBANK,1631.55,1607.289999999999,1631.55,1607.289999999999,Hold,,,,,,,,
2022-11-18,EQ,1621.0,1623.0,1605.25,1618.15,1612.05,1613.9,1611.71,1722.1,1271.6,5229616,8428647397.7,155906,HDFCBANK,1623.0,1607.424999999999,1623.0,1607.424999999999,Hold,,,,,,,,
2022-11-21,EQ,1607.65,1612.0,1590.2,1613.9,1597.1,1597.35,1597.33,1722.1,1271.6,4172408,6664713134.4,156009,HDFCBANK,1612.0,1606.7449999999992,1612.0,1606.7449999999992,Buy,crossover,1597.2247926252855,1597.5378110620716,1597.35,,,,
2022-11-22,EQ,1600.0,1604.35,1591.0,1597.35,1597.0,1595.0,1596.15,1722.1,1271.6,4273157,6820613224.25,159221,HDFCBANK,1604.35,1608.3049999999992,1604.35,1608.3049999999992,Sell,Stop Loss,1597.2247926252855,1597.5378110620716,1597.35,1595.0,-2.349999999999909,-0.14711866528937986,-1648.4499999999991
2022-11-23,EQ,1605.0,1605.0,1594.0,1595.0,1596.8,1599.15,1598.79,1722.1,1271.6,5092869,8142453343.3,124888,HDFCBANK,1605.0,1609.9199999999992,1605.0,1609.9199999999992,Hold,,,,,,,,
2022-11-24,EQ,1605.95,1632.0,1599.15,1599.15,1627.6,1625.15,1614.59,1722.1,1271.6,8598980,13883849723.65,161678,HDFCBANK,1632.0,1611.0499999999993,1632.0,1611.0499999999993,Hold,,,,,,,,
2022-11-25,EQ,1629.7,1631.7,1614.1,1625.15,1617.0,1617.65,1620.31,1722.1,1271.6,4205248,6813792904.55,117799,HDFCBANK,1631.7,1610.4849999999992,1631.7,1610.4849999999992,Buy,crossover,1617.5263638611566,1617.8354542082652,1617.65,,,,
2022-11-28,EQ,1602.9,1607.45,1594.05,1617.65,1600.5,1600.25,1600.57,1722.1,1271.6,8052990,12889397052.7,165436,HDFCBANK,1607.45,1611.8249999999994,1607.45,1611.8249999999994,Sell,Stop Loss,1617.5263638611566,1617.8354542082652,1617.65,1600.25,-17.40000000000009,-1.0756344079374456,-1665.8499999999992
2022-11-29,EQ,1597.25,1612.35,1592.85,1600.25,1600.0,1597.85,1602.17,1722.1,1271.6,6319118,10124273482.9,186705,HDFCBANK,1612.35,1616.1749999999993,1612.35,1616.1749999999993,Hold,,,,,,,,
2022-11-30,EQ,1597.1,1612.9,1597.1,1597.85,1611.9,1608.45,1603.75,1722.1,1271.6,7592403,12176299410.4,137140,HDFCBANK,1612.9,1621.2199999999991,1612.9,1621.2199999999991,Hold,,,,,,,,
2022-12-01,EQ,1622.0,1637.0,1615.0,1608.45,1618.0,1619.5,1625.06,1722.1,1271.6,10223183,16613268315.75,223935,HDFCBANK,1637.0,1626.599999999999,1637.0,1626.599999999999,Buy,crossover,1619.376505094165,1619.6852423587527,1619.5,,,,
2022-12-02,EQ,1610.0,1618.6,1605.15,1619.5,1607.75,1607.1,1609.97,1722.1,1271.6,3905539,6287798248.0,157768,HDFCBANK,1618.6,1627.829999999999,1618.6,1627.829999999999,Sell,Stop Loss,1619.376505094165,1619.6852423587527,1619.5,1607.1,-12.400000000000091,-0.7656684161778383,-1678.2499999999993
2022-12-05,EQ,1609.95,1614.6,1596.2,1607.1,1613.0,1612.95,1604.77,1722.1,1271.6,5796311,9301737289.5,198169,HDFCBANK,1614.6,1631.084999999999,1614.6,1631.084999999999,Hold,,,,,,,,
2022-12-06,EQ,1601.0,1613.7,1600.0,1612.95,1612.95,1611.15,1607.2,1722.1,1271.6,6176546,9926951123.55,152759,HDFCBANK,1613.7,1634.264999999999,1613.7,1634.264999999999,Hold,,,,,,,,
2022-12-07,EQ,1614.15,1618.6,1604.45,1611.15,1611.0,1610.45,1610.02,1722.1,1271.6,5837360,9398261261.05,175386,HDFCBANK,1618.6,1636.4899999999989,1618.6,1636.4899999999989,Hold,,,,,,,,
2022-12-08,EQ,1610.0,1626.0,1605.0,1610.45,1620.0,1619.5,1615.97,1722.1,1271.6,7401817,11961138033.6,162638,HDFCBANK,1626.0,1637.2049999999988,1626.0,1637.2049999999988,Hold,,,,,,,,
2022-12-09,EQ,1626.0,1634.85,1620.0,1619.5,1630.15,1631.05,1626.86,1722.1,1271.6,5981692,9731403133.75,142195,HDFCBANK,1634.85,1636.4599999999987,1634.85,1636.4599999999987,Hold,,,,,,,,
2022-12-12,EQ,1625.0,1653.6,1621.4,1631.05,1642.8,1643.75,1643.67,1722.1,1271.6,7217404,11863026689.8,191429,HDFCBANK,1653.6,1633.1199999999988,1653.6,1633.1199999999988,Hold,,,,,,,,
2022-12-13,EQ,1650.0,1657.0,1645.0,1643.75,1645.3,1648.3,1651.67,1722.1,1271.6,8515851,14065339215.85,165451,HDFCBANK,1657.0,1631.689999999999,1657.0,1631.689999999999,Hold,,,,,,,,
2022-12-14,EQ,1653.0,1665.5,1650.0,1648.3,1660.0,1662.25,1658.28,1722.1,1271.6,7113820,11796681944.4,183221,HDFCBANK,1665.5,1629.969999999999,1665.5,1629.969999999999,Hold,,,,,,,,
2022-12-15,EQ,1657.05,1669.4,1627.05,1662.25,1630.0,1631.8,1659.58,1722.1,1271.6,9091324,15087760729.0,145032,HDFCBANK,1669.4,1626.724999999999,1669.4,1626.724999999999,Hold,,,,,,,,
2022-12-16,EQ,1620.05,1645.1,1609.0,1631.8,1635.2,1639.65,1634.08,1722.1,1271.6,7323979,11968001262.3,177618,HDFCBANK,1645.1,1627.6749999999988,1645.1,1627.6749999999988,Hold,,,,,,,,
2022-12-19,EQ,1644.0,1646.65,1626.2,1639.65,1645.9,1644.75,1636.95,1722.1,1271.6,4802271,7861087915.35,111511,HDFCBANK,1646.65,1626.524999999999,1646.65,1626.524999999999,Hold,,,,,,,,
2022-12-20,EQ,1620.2,1636.4,1620.2,1644.75,1635.0,1633.4,1630.1,1722.1,1271.6,3587349,5847749606.55,94981,HDFCBANK,1636.4,1624.919999999999,1636.4,1624.919999999999,Hold,,,,,,,,
2022-12-21,EQ,1641.0,1644.8,1606.55,1633.4,1620.0,1617.6,1625.86,1722.1,1271.6,4634599,7535206897.25,155853,HDFCBANK,1644.8,1625.514999999999,1644.8,1625.514999999999,Hold,,,,,,,,
2022-12-22,EQ,1622.2,1627.5,1609.0,1617.6,1612.85,1612.05,1617.13,1722.1,1271.6,4873548,7881152431.2,156615,HDFCBANK,1627.5,1624.7599999999989,1627.5,1624.7599999999989,Buy,crossover,1611.9259343692813,1612.236098446078,1612.05,,,,
2022-12-23,EQ,1587.0,1604.15,1585.45,1612.05,1599.0,1597.65,1596.11,1722.1,1271.6,5346576,8533738599.5,161132,HDFCBANK,1604.15,1623.5249999999992,1604.15,1623.5249999999992,Sell,crossdown,1611.9259343692813,1612.236098446078,1612.05,1629.45,17.40000000000009,1.079370987252262,-1660.8499999999992
2022-12-26,EQ,1599.5,1639.0,1590.0,1597.65,1628.95,1629.45,1617.09,1722.1,1271.6,4953661,8010532444.25,127280,HDFCBANK,1639.0,1623.1999999999991,1639.0,1623.1999999999991,Hold,,,,,,,,
2022-12-27,EQ,1633.0,1635.95,1613.5,1629.45,1630.9,1631.1,1622.27,1722.1,1271.6,3963386,6429669607.95,101780,HDFCBANK,1635.95,1620.004999999999,1635.95,1620.004999999999,Hold,,,,,,,,
2022-12-28,EQ,1623.1,1633.0,1623.1,1631.1,1628.5,1629.8,1628.46,1722.1,1271.6,4345935,7077164442.15,143232,HDFCBANK,1633.0,1613.724999999999,1633.0,1613.724999999999,Hold,,,,,,,,
2022-12-29,EQ,1620.1,1643.5,1611.0,1629.8,1639.1,1641.3,1629.83,1722.1,1271.6,5506448,8974549942.25,204767,HDFCBANK,1643.5,1609.834999999999,1643.5,1609.834999999999,Hold,,,,,,,,
2022-12-30,EQ,1645.0,1645.0,1620.0,1641.3,1630.0,1628.15,1632.15,1722.1,1271.6,3561320,5812610084.2,138629,HDFCBANK,1645.0,1605.644999999999,1645.0,1605.644999999999,Hold,,,,,,,,
2023-01-02,EQ,1627.0,1639.75,1618.55,1628.15,1628.15,1628.7,1629.49,1722.1,1271.6,2190689,3569697184.0,89456,HDFCBANK,1639.75,1602.894999999999,1639.75,1602.894999999999,Hold,,,,,,,,
2023-01-03,EQ,1622.2,1643.0,1622.2,1628.7,1640.5,1639.35,1634.63,1722.1,1271.6,4189015,6847495805.65,102047,HDFCBANK,1643.0,1598.554999999999,1643.0,1598.554999999999,Hold,,,,,,,,
2023-01-04,EQ,1635.0,1645.75,1607.0,1639.35,1610.3,1610.05,1622.71,1722.1,1271.6,5175800,8398837748.0,164250,HDFCBANK,1645.75,1595.5099999999989,1645.75,1595.5099999999989,Hold,,,,,,,,
2023-01-05,EQ,1615.0,1618.05,1589.4,1610.05,1599.95,1599.7,1602.26,1722.1,1271.6,5470718,8765509490.95,193143,HDFCBANK,1618.05,1598.2349999999988,1618.05,1598.2349999999988,Hold,,,,,,,,
2023-01-06,EQ,1602.0,1609.1,1578.2,1599.7,1594.05,1594.4,1592.77,1722.1,1271.6,4546231,7241079692.35,147775,HDFCBANK,1609.1,1602.6749999999988,1609.1,1602.6749999999988,Hold,,,,,,,,
2023-01-09,EQ,1596.0,1611.55,1590.0,1594.4,1597.95,1597.5,1601.83,1722.1,1271.6,5364670,8593288222.1,164427,HDFCBANK,1611.55,1609.3299999999988,1611.55,1609.3299999999988,Buy,crossover,1597.3748043818466,1597.68779342723,1597.5,,,,
2023-01-10,EQ,1600.0,1600.0,1565.0,1597.5,1570.0,1568.3,1572.13,1722.1,1271.6,8185883,12869232604.25,290553,HDFCBANK,1600.0,1616.889999999999,1600.0,1616.889999999999,Sell,Stop Loss,1597.3748043818466,1597.68779342723,1597.5,1568.3,-29.200000000000045,-1.8278560250391267,-1690.0499999999993
2023-01-11,EQ,1567.95,1598.0,1560.0,1568.3,1589.0,1590.9,1585.27,1722.1,1271.6,7597899,12044752262.45,263176,HDFCBANK,1598.0,1629.609999999999,1598.0,1629.609999999999,Hold,,,,,,,,
2023-01-12,EQ,1587.8,1603.9,1584.15,1590.9,1597.0,1599.4,1593.76,1722.1,1271.6,4625035,7371203643.65,160323,HDFCBANK,1603.9,1635.3849999999989,1603.9,1635.3849999999989,Hold,,,,,,,,
2023-01-13,EQ,1598.75,1609.9,1586.0,1599.4,1601.0,1600.65,1598.66,1722.1,1271.6,4622273,7389463181.3,149441,HDFCBANK,1609.9,1637.024999999999,1609.9,1637.024999999999,Hold,,,,,,,,
2023-01-16,EQ,1615.0,1621.3,1580.3,1600.65,1585.8,1585.3,1600.14,1722.1,1271.6,7374047,11799532275.45,216647,HDFCBANK,1621.3,1638.3749999999989,1621.3,1638.3749999999989,Hold,,,,,,,,
2023-01-17,EQ,1589.8,1611.0,1577.5,1585.3,1607.45,1608.9,1602.4,1722.1,1271.6,5393177,8642051691.35,136682,HDFCBANK,1611.0,1640.194999999999,1611.0,1640.194999999999,Hold,,,,,,,,
2023-01-18,EQ,1605.0,1641.6,1599.7,1608.9,1637.15,1637.3,1631.33,1722.1,1271.6,9545321,15571575456.3,273645,HDFCBANK,1641.6,1642.0599999999988,1641.6,1642.0599999999988,Hold,,,,,,,,
2023-01-19,EQ,1637.0,1650.0,1633.0,1637.3,1640.1,1644.1,1643.36,1722.1,1271.6,5586081,9179947870.95,212074,HDFCBANK,1650.0,1638.6649999999986,1650.0,1638.6649999999986,Hold,,,,,,,,
2023-01-20,EQ,1644.1,1669.0,1643.4,1644.1,1659.25,1660.95,1661.6,1722.1,1271.6,9421702,15655096016.05,183678,HDFCBANK,1669.0,1640.1349999999989,1669.0,1640.1349999999989,Hold,,,,,,,,
2023-01-23,EQ,1666.25,1682.6,1661.4,1660.95,1671.9,1673.1,1674.88,1722.1,1271.6,7722200,12933789977.65,302449,HDFCBANK,1682.6,1639.2149999999988,1682.6,1639.2149999999988,Hold,,,,,,,,
2023-01-24,EQ,1675.05,1702.4,1675.0,1673.1,1693.0,1695.5,1692.57,1722.1,1271.6,12491970,21143517490.3,229064,HDFCBANK,1702.4,1637.324999999999,1702.4,1637.324999999999,Hold,,,,,,,,
2023-01-25,EQ,1691.4,1692.95,1645.3,1695.5,1649.7,1648.65,1657.89,1722.1,1271.6,7352071,12188918619.35,190090,HDFCBANK,1692.95,1633.1749999999988,1692.95,1633.1749999999988,Hold,,,,,,,,
2023-01-27,EQ,1632.0,1637.0,1589.95,1648.65,1614.8,1615.8,1614.04,1722.1,1271.6,17589974,28390935612.35,364306,HDFCBANK,1637.0,1633.3649999999989,1637.0,1633.3649999999989,Buy,crossover,1615.6762223047406,1615.985666542889,1615.8,,,,
